# atom   nres   name    charge        NPBC_SLV        NPBC_VAC         PBC_SLV         PBC_VAC      FFT_LS_PBC      FFT_RF_PBC
     1      1     O1   -0.2455    -396.5211514    -537.1099792    -395.6482822    -502.2270308     100.3233165      78.3340046
     2      1     C7    0.2761     114.4791534     -19.4342193     115.3757482      15.4802177      90.9660790      75.3956067
     3      1     O2   -0.2455    -358.7594656    -501.4145577    -357.9024807    -466.5297584     108.0850488      78.9366272
     4      1     C3   -0.0320     -39.7010302    -157.3701949     -38.7896570    -122.5203057      79.4143224      61.8450030
     5      1     C4   -0.0327     -76.9880855    -179.4515205     -76.1261714    -144.7290866      65.7250667      49.4313999
     6      1     C5   -0.0462     -68.2138461    -156.1879100     -67.3917704    -121.7427009      53.9866192      36.0993540
     7      1     C6   -0.0468     -99.3392693    -185.8287529     -98.5211358    -151.5083441      47.4602523      31.2805239
     8      1     C1   -0.0477     -95.5502748    -192.9391979     -94.6992619    -158.4254338      59.3116499      42.5377302
     9      1     C2    0.0273     -24.9648760    -135.3790356     -24.0655125    -100.6209730      66.7198630      53.0932537
    10      1     O3   -0.1027    -160.2432998    -268.2018875    -159.3630210    -233.4273246      67.1458574      51.4157006
    11      1     C8    0.1986     310.3131447     214.6468808     311.1559250     249.3319341      52.8225917      45.5239543
    12      1     O4   -0.1632    -162.9409745    -266.0567870    -162.1463218    -231.5080112      55.9940797      43.8751627
    13      1     C9   -0.0639     -39.3733311    -119.1841079     -38.5825811     -84.5832069      48.5847043      28.2725182
    14      1      H    0.0261      37.2797149     -46.8789323      38.0321124     -12.2212193      54.0358824      35.9781240
    15      1     H1    0.0261      22.5431661     -52.3339099      23.2844119     -17.8341324      38.3017414      21.5838730
    16      1     H2    0.0261      10.0559020     -56.0986414      10.7781446     -21.6484780      31.2299038      14.7419831
    17      1     H3    0.0426       5.7422482     -91.7827548       6.5185369     -57.0831556      62.2822082      46.0955449
    18      1     H4    0.0330      32.8378651     -42.2696310      33.5904697      -8.0197160      37.6428513      23.4192723
    19      1     H5    0.0327      17.1870685     -56.6214042      17.9170726     -22.6455883      36.3670003      21.3458533
    20      1     H6    0.0372     -11.8476790    -102.4549674     -11.0785095     -68.1087098      52.4286078      36.2619507

