# atom   nres   name    charge        NPBC_SLV        NPBC_VAC         PBC_SLV         PBC_VAC      FFT_LS_PBC      FFT_RF_PBC
     1      1     O1   -0.7774    -447.5999479    -900.5960394    -444.9900355    -790.2254987     290.2750030     229.3066461
     2      1     C7    0.8742     351.3923030     -74.1316234     354.1575137      36.2927752     267.1795096     227.5043768
     3      1     O2   -0.7774    -470.1403098    -915.0405699    -467.4873562    -804.7080488     315.9480172     249.5386124
     4      1     C3   -0.1013     -60.2293358    -417.2707149     -57.4193501    -307.0817370     226.1383690     177.6564123
     5      1     C4   -0.1036    -220.3038342    -526.1710810    -217.6862075    -416.5136348     184.8535749     135.7471905
     6      1     C5   -0.1463    -330.6560865    -584.2861883    -328.1503425    -475.1923670     132.2512932      78.7422050
     7      1     C6   -0.1482    -261.1792113    -500.2608106    -258.6767388    -391.2161176     123.7915096      78.5626069
     8      1     C1   -0.1511    -326.6250967    -590.6470693    -324.0243078    -481.0814504     148.0066705      97.6002790
     9      1     C2    0.0865     -96.2096202    -423.4431840     -93.4372420    -313.3528286     223.7210165     175.0626951
    10      1     O3   -0.3251    -320.4400033    -678.3558862    -317.7341316    -568.1704654     256.5159044     204.8113079
    11      1     C8    0.6290     684.4486563     358.4807377     687.0774377     468.4059639     195.4588217     164.4581979
    12      1     O4   -0.5168    -302.7265344    -651.5400988    -300.3002762    -541.9733280     209.3827694     157.1770371
    13      1     C9   -0.2024      43.5293475    -226.4619616      46.0169380    -116.9289840     161.3747025     111.3278544
    14      1      H    0.0827      93.5765441    -150.8369727      95.8460229     -41.7060411     131.7674790      84.8364888
    15      1     H1    0.0827      31.0584899    -192.6849597      33.3413855     -83.5074474     101.6743660      47.7500025
    16      1     H2    0.0827     138.2548180    -165.2984870     140.7752090     -55.6033256     175.8484289     135.2100791
    17      1     H3    0.1349      -3.5177358    -293.4958666      -1.1632129    -184.1591929     171.2593595     121.3336677
    18      1     H4    0.1045      32.9661595    -176.8692360      35.1669510     -68.4741817     106.2130341      56.2557065
    19      1     H5    0.1036     -31.0426085    -229.8722220     -28.8093776    -121.5124382      79.5227805      34.4541736
    20      1     H6    0.1178      24.1607864    -199.2726960      26.4286553     -90.0501344     106.5705729      53.7468443

