# atom   nres   name    charge        NPBC_SLV        NPBC_VAC         PBC_SLV         PBC_VAC      FFT_LS_PBC      FFT_RF_PBC
     1      1     O1   -0.4910    -407.1253659    -696.6264954    -405.4430590    -626.8777289     197.4343708     145.8038064
     2      1     C7    0.5521     118.7574540    -154.6951793     120.5286926     -84.8673186     191.3247804     156.9017130
     3      1     O2   -0.4910    -576.4563457    -868.4399472    -574.7167454    -798.5965654     218.8947035     168.7517217
     4      1     C3   -0.0640    -100.3458063    -329.7527086     -98.5594544    -260.1674587     150.8716187     110.5583061
     5      1     C4   -0.0654    -144.1032447    -344.6333671    -142.4195402    -275.3723225     128.1992277      91.3678584
     6      1     C5   -0.0924    -219.2508252    -384.1911294    -217.6467999    -315.4773407      95.5719240      60.1937572
     7      1     C6   -0.0936    -183.7395448    -338.1091151    -182.1623450    -269.5791964      86.9514299      50.9004287
     8      1     C1   -0.0954    -110.0721969    -276.1721623    -108.4438840    -207.2999944     108.6320619      69.2247045
     9      1     C2    0.0547     -40.5773958    -245.6514456     -38.8096220    -176.2551540     120.5572410      91.0290593
    10      1     O3   -0.2053    -120.6574326    -340.6254640    -118.9614349    -271.1656528     142.2583070     102.9535378
    11      1     C8    0.3973     459.5815494     251.6967197     461.2574870     321.0096315     116.2603946      90.7187800
    12      1     O4   -0.3264    -153.4109838    -395.4942692    -151.8312565    -326.2620555     133.9292870     111.2846070
    13      1     C9   -0.1279      26.6075401    -148.2056849      28.2197601     -79.0778716     103.7721273      68.4204725
    14      1      H    0.0522       5.6512406    -190.3337667       7.2584289    -121.0041306     117.6884607      87.3901366
    15      1     H1    0.0522      38.7723213    -120.5988810      40.2312929     -51.7861847      90.4672225      57.1252679
    16      1     H2    0.0522      52.3373033     -90.2831551      53.8159340     -21.4464807      59.3228584      30.2862085
    17      1     H3    0.0852      58.4460817    -141.7956799      60.0018306     -72.5458643     127.4596930      92.6989133
    18      1     H4    0.0660      16.4160803    -122.9730415      17.8334898     -54.7349562      69.3937212      38.4910380
    19      1     H5    0.0654      44.1776109     -82.9572248      45.5700226     -15.0150566      56.7864509      26.9181108
    20      1     H6    0.0744       8.3433947    -135.4608064       9.8061779     -66.9136967      75.4658216      45.4158184

