# atom   nres   name    charge        NPBC_SLV        NPBC_VAC         PBC_SLV         PBC_VAC      FFT_LS_PBC      FFT_RF_PBC
     1      1     O1   -0.5728    -562.5923637    -895.9246405    -560.5748449    -814.4854398     241.7423633     192.1476701
     2      1     C7    0.6441     391.9180931      76.5946752     394.0171167     158.0975926     207.8287036     183.6345471
     3      1     O2   -0.5728   -1313.1184183   -1644.2249348   -1311.1108321   -1562.6898616     246.2986737     193.7605416
     4      1     C3   -0.0746     -84.5427382    -351.1638443     -82.4158695    -269.9483720     186.8516301     139.6974444
     5      1     C4   -0.0763    -154.1873638    -384.1770012    -152.2036101    -303.3634967     148.3745266     106.4964363
     6      1     C5   -0.1078    -220.8068897    -412.5337737    -218.9137619    -332.3392521     106.7974112      67.9592650
     7      1     C6   -0.1092    -154.1429350    -333.7821677    -152.2797603    -253.7822504      92.9974716      57.1325703
     8      1     C1   -0.1113    -209.9288406    -405.2641512    -207.9742775    -324.8034463     107.1923309      71.8997635
     9      1     C2    0.0638     -44.7997427    -286.3900668     -42.6897662    -205.3433658     147.9459311     117.0726356
    10      1     O3   -0.2395    -114.6249799    -372.5341174    -112.6161122    -291.4281729     173.8126115     133.1136871
    11      1     C8    0.4635     514.4737493     265.5421138     516.4676040     346.5864000     148.8162851     124.7331637
    12      1     O4   -0.3808    -305.7331771    -589.0566529    -303.8605042    -508.0318280     206.1029413     162.8171117
    13      1     C9   -0.1492     -55.3931727    -249.3152893     -53.5380775    -168.7065096     125.7476211      82.0035975
    14      1      H    0.0609      77.8557879     -79.6031612      79.5431940       0.5889222      85.7307242      43.5714128
    15      1     H1    0.0609      61.1239777    -141.1895537      62.8808375     -60.6055074     127.7884500      84.6258022
    16      1     H2    0.0609      -3.5567956    -178.4150067      -1.8836139     -98.0601198      91.6475953      50.4989301
    17      1     H3    0.0994     115.7631288    -103.4626429     117.5492159     -22.7572273     137.9915273      98.4931438
    18      1     H4    0.0770     -28.7462067    -191.8551523     -27.0639495    -112.1901668      74.6594206      41.3890027
    19      1     H5    0.0763      44.3333813    -106.1752171      46.0165324     -26.8200039      62.8861650      31.9139104
    20      1     H6    0.0868      50.8161190    -119.5633995      52.5629185     -39.4077448      83.7745245      49.4513897

