# atom   nres   name    charge        NPBC_SLV        NPBC_VAC         PBC_SLV         PBC_VAC      FFT_LS_PBC      FFT_RF_PBC
     1      1     O1   -0.4092    -384.5066265    -626.0156038    -383.0874301    -567.9272862     174.9793266     129.1543032
     2      1     C7    0.4601      31.7115519    -185.1495203      33.1936622    -127.0836443     159.6500882     131.7387931
     3      1     O2   -0.4092    -524.9572213    -743.8855823    -523.5496648    -685.9273242     151.4766424     124.1416733
     4      1     C3   -0.0533     -58.1504819    -245.1062959     -56.6455762    -187.1105153     124.5008176      95.4150348
     5      1     C4   -0.0545    -118.8342687    -283.4282952    -117.4306939    -225.6651793      93.8603207      66.2895626
     6      1     C5   -0.0770    -182.5887180    -321.9058121    -181.2509255    -264.3816541      79.5511223      51.4485090
     7      1     C6   -0.0780    -127.8244915    -258.9514147    -126.5020184    -201.4986865      72.6424322      46.5063902
     8      1     C1   -0.0795    -106.4330109    -249.6942221    -105.0632350    -192.0744666      90.7492620      63.5580719
     9      1     C2    0.0456     -53.4511962    -226.0418746     -51.9648026    -168.1394053     107.6085973      83.4729336
    10      1     O3   -0.1711     -78.0559245    -261.8885119     -76.6336087    -204.0480801     122.9342172      96.7666265
    11      1     C8    0.3311     354.2176331     180.8582831     355.6092179     238.5674183     112.1286073      91.9133306
    12      1     O4   -0.2720    -346.3317635    -531.1814536    -345.0512597    -473.7777602     115.5185097      90.9330096
    13      1     C9   -0.1066      63.5368981     -83.0589046      64.8710796     -25.4407107      91.7308669      62.3806010
    14      1      H    0.0435      13.9591741    -130.6673082      15.2743029     -73.0048205      81.8567518      55.4388253
    15      1     H1    0.0435      54.3577960     -92.3826209      55.6202830     -34.7470118      85.8151431      58.9493954
    16      1     H2    0.0435      48.6917738     -72.9304568      49.8920245     -15.6659021      58.6998923      32.2159181
    17      1     H3    0.0710      58.3500799    -102.4317497      59.6378411     -44.8167691      96.2803289      68.9465809
    18      1     H4    0.0550      -1.9388394    -120.2580805      -0.7497472     -63.0511046      61.3278956      35.8628348
    19      1     H5    0.0545     -11.7968849    -121.8506595     -10.6027151     -64.7264855      47.4026385      22.8968274
    20      1     H6    0.0620       1.2085761    -126.0063913       2.4246452     -68.6320461      70.9819255      44.7787868

