# atom   nres   name    charge        NPBC_SLV        NPBC_VAC         PBC_SLV         PBC_VAC      FFT_LS_PBC      FFT_RF_PBC
     1      1     O1   -0.7365    -753.9267884   -1193.2039761    -751.4085062   -1088.4067158     325.7994167     268.0316066
     2      1     C7    0.8282     -14.2357070    -419.3748863     -11.6481610    -314.6958464     294.8930764     246.2415520
     3      1     O2   -0.7365    -396.4866987    -813.0192924    -394.0155122    -708.5664284     266.8500399     210.4897691
     4      1     C3   -0.0959    -111.7866177    -456.1909376    -109.1530566    -351.8170079     226.6921564     173.0289840
     5      1     C4   -0.0981    -242.4866732    -539.6657961    -239.9980000    -435.7963497     175.2771929     126.3222762
     6      1     C5   -0.1386    -192.9156299    -439.3386235    -190.5536300    -336.1832992     133.5848975      85.1991320
     7      1     C6   -0.1404    -240.3176592    -466.5732681    -237.9794055    -363.6333538     106.2422622      61.1436158
     8      1     C1   -0.1431    -238.2191815    -486.5064269    -235.7600587    -383.0085582     139.2752855      96.2098063
     9      1     C2    0.0820    -129.3939769    -442.9012610    -126.7921403    -338.7436172     200.8591593     153.8721335
    10      1     O3   -0.3080    -394.3448479    -736.2845841    -391.8028486    -632.0580945     251.2827864     200.0831570
    11      1     C8    0.5959     807.4102049     520.7335768     809.8426948     624.5083419     178.6725839     150.2728576
    12      1     O4   -0.4896    -341.4805295    -659.8578775    -339.1966830    -556.2882814     214.4890884     157.4445792
    13      1     C9   -0.1918      40.9292214    -180.1587161      43.2383033     -76.9098119     146.0467464      90.0537653
    14      1      H    0.0783      55.3271513    -126.8207314      57.4864084     -24.1238397      68.9397463      18.0602559
    15      1     H1    0.0783     152.3560522     -79.1836612     154.6003511      24.1614476     147.4051346      91.8920616
    16      1     H2    0.0783      68.0156336    -129.6241834      70.1534301     -26.7440908      92.2358722      45.7096450
    17      1     H3    0.1278      43.7461555    -248.8000187      46.0075254    -145.0358014     165.0590330     116.6266617
    18      1     H4    0.0990     -15.3786408    -226.3515542     -13.2461215    -123.8729947      90.5865961      46.4186077
    19      1     H5    0.0981      -4.2055663    -188.5769649      -2.1445405     -86.4249444      70.6967058      27.9746682
    20      1     H6    0.1116      62.4578665    -141.0022889      64.6520056     -37.9685904      90.0416874      45.0141419

