# atom   nres   name    charge        NPBC_SLV        NPBC_VAC         PBC_SLV         PBC_VAC      FFT_LS_PBC      FFT_RF_PBC
     1      1     O1   -0.0818     -68.4741226    -113.9279804     -68.1904828    -102.3266435      29.7194877      22.9624623
     2      1     C7    0.0920      28.1728074     -16.3971404      28.4724825      -4.7709369      30.7147539      25.4970107
     3      1     O2   -0.0818     -67.8786611    -117.4721191     -67.5900072    -105.8358062      33.3401215      25.8760818
     4      1     C3   -0.0107     -13.4209406     -50.6846878     -13.1185646     -39.0904432      25.3735683      19.4062488
     5      1     C4   -0.0109     -25.5014144     -57.1914615     -25.2206247     -45.6584108      20.9350094      15.2045322
     6      1     C5   -0.0154     -29.0192552     -55.5792084     -28.7504177     -44.1199931      15.5209773      10.0500453
     7      1     C6   -0.0156     -27.0139299     -52.3440499     -26.7458046     -40.8943381      12.9809727       8.1690595
     8      1     C1   -0.0159     -31.6941697     -59.7416546     -31.4169674     -48.2330895      15.8523388       9.9523949
     9      1     C2    0.0091     -12.5383964     -47.3168575     -12.2389892     -35.7387959      22.6456254      17.1281577
    10      1     O3   -0.0342     -13.7233259     -52.0689679     -13.4342813     -40.4820778      24.9998993      19.1111363
    11      1     C8    0.0662      20.6882666     -14.9007435      20.9684363      -3.3229100      23.9644202      18.1439474
    12      1     O4   -0.0544     -46.0823577     -86.6108979     -45.8166268     -75.0478174      26.2885446      20.3963080
    13      1     C9   -0.0213      -4.1374218     -33.0303240      -3.8699446     -21.4711016      18.9954791      12.2719070
    14      1      H    0.0087       3.6035837     -29.6498788       3.8678701     -18.0736407      25.2044998      17.8894524
    15      1     H1    0.0087      15.8430037      -9.1020585      16.0843192       2.4226985      12.5614088       7.6757465
    16      1     H2    0.0087       4.9586563     -19.5739305       5.2082728      -8.0525374      12.5193034       6.6815114
    17      1     H3    0.0142       9.1081125     -21.4049860       9.3600555      -9.8966819      19.0013033      13.4840870
    18      1     H4    0.0110      -5.2647688     -28.0422988      -5.0263912     -16.6664743       8.5056281       4.6350935
    19      1     H5    0.0109      -3.5996757     -24.8803306      -3.3609717     -13.5164072       9.1179064       4.3048180
    20      1     H6    0.0124       3.8468563     -20.4491328       4.0891949      -8.9821774      12.3759144       6.8193528

