# atom   nres   name    charge        NPBC_SLV        NPBC_VAC         PBC_SLV         PBC_VAC      FFT_LS_PBC      FFT_RF_PBC
     1      1     O1   -0.6546    -802.6383704   -1195.0271766    -800.2812951   -1101.8869167     284.3913741     229.1514549
     2      1     C7    0.7362     595.2575236     243.3779833     597.7127117     336.4169782     253.4214151     218.6911845
     3      1     O2   -0.6546   -1317.2278902   -1679.7256062   -1314.9085455   -1586.8543349     263.3790748     209.3822387
     4      1     C3   -0.0853    -148.0287804    -445.1598936    -145.5491645    -352.3858472     210.0649410     150.9478398
     5      1     C4   -0.0872    -238.7860493    -495.8767409    -236.4813442    -403.6131602     164.9504317     114.1285113
     6      1     C5   -0.1232    -270.0852633    -483.7994781    -267.8909138    -392.0902407     128.6983386      79.4750882
     7      1     C6   -0.1248    -238.4000614    -440.6533696    -236.2173272    -348.9619798     108.1011783      67.0392224
     8      1     C1   -0.1272    -221.9119480    -442.4065125    -219.6445643    -350.2720042     125.8170561      79.2650199
     9      1     C2    0.0729     -89.2545934    -362.6704056     -86.8116933    -270.0187044     176.4768853     128.6357532
    10      1     O3   -0.2738    -119.6387827    -418.4016195    -117.2772347    -325.6870994     209.6129381     159.2740173
    11      1     C8    0.5297     591.1744273     311.6950063     593.4536532     404.1994201     149.4273137     121.1012562
    12      1     O4   -0.4352    -275.9006730    -588.3856095    -273.7948360    -496.1299328     199.0324558     154.8035837
    13      1     C9   -0.1705      -6.5123235    -231.8484488      -4.3708593    -139.6423842     147.4588012      92.1712728
    14      1      H    0.0696      31.4691014    -212.7726882      33.5857844    -120.4026718     143.4041137      97.8458860
    15      1     H1    0.0696      84.7742016    -118.4923477      86.6966845     -26.5812399     110.7855246      64.9883476
    16      1     H2    0.0696      65.4058982    -117.9904528      67.3657145     -26.2064969      93.5721567      45.2390387
    17      1     H3    0.1136      36.5950202    -213.0054987      38.6526821    -121.0315977     161.0798590     111.9984905
    18      1     H4    0.0880      33.9863145    -148.0701960      35.9296649     -57.0694084      93.2747288      52.0730341
    19      1     H5    0.0872     -11.6656740    -181.3719960      -9.7141525     -90.3170747      70.3896042      34.5632907
    20      1     H6    0.0992      83.7551372    -106.5897515      85.7900887     -14.7667632      98.8562157      57.5821723

