# atom   nres   name    charge        NPBC_SLV        NPBC_VAC         PBC_SLV         PBC_VAC      FFT_LS_PBC      FFT_RF_PBC
     1      1     O1   -0.8183    -911.4793733   -1380.0015947    -908.6162001   -1263.6801994     310.5487169     221.2450811
     2      1     C7    0.9202     593.0643684     145.5671311     596.0494692     261.9154370     305.2753247     255.3560024
     3      1     O2   -0.8183   -1083.1083246   -1568.5312614   -1080.2640323   -1452.1712848     366.5917314     281.3848040
     4      1     C3   -0.1066     -52.0009313    -430.0992951     -48.9868331    -314.1963832     269.4144783     204.6600702
     5      1     C4   -0.1090    -181.3086607    -509.0033445    -178.5339367    -393.8840607     221.5570595     155.1236170
     6      1     C5   -0.1540    -297.2745013    -568.4875678    -294.6124042    -454.3858853     168.1871310     112.9653855
     7      1     C6   -0.1560    -336.0219783    -591.7185803    -333.3759484    -477.7020752     134.6533411      80.6790314
     8      1     C1   -0.1590    -287.6643722    -563.0098531    -284.8733475    -448.1678907     150.1253832      91.1932974
     9      1     C2    0.0911     -93.4018482    -433.2303560     -90.4093016    -317.5110532     228.1456299     172.9422063
    10      1     O3   -0.3422    -357.5780971    -726.9440458    -354.6716570    -611.0299239     245.9391629     198.8307007
    11      1     C8    0.6621     496.5860008     163.9537563     499.3712445     279.4926403     191.0801647     157.1280919
    12      1     O4   -0.5440    -375.5153516    -738.0314652    -372.9206167    -622.8154810     223.7716782     171.6600726
    13      1     C9   -0.2131     -71.3549466    -345.2091606     -68.7066704    -229.9796443     191.0186978     128.2685922
    14      1      H    0.0870      68.5250123    -149.4878450      70.9298164     -34.8991116     111.8438262      55.1601448
    15      1     H1    0.0870      16.8980725    -282.6198500      19.5021067    -167.1541261     188.4856553     131.4260574
    16      1     H2    0.0870     128.3954519    -121.2438786     130.8035588      -6.3539517     143.0540654      88.7288713
    17      1     H3    0.1420      65.0138078    -247.8272489      67.5078120    -132.8737745     207.1408947     147.4698038
    18      1     H4    0.1100     -39.5188799    -273.0593549     -37.1673877    -160.0262670     118.7832016      68.3211719
    19      1     H5    0.1090      -0.5468387    -210.8062627       1.7607210     -97.8185511      89.0624422      39.7070556
    20      1     H6    0.1240     172.9182549     -64.8616377     175.4568255      49.5866287     110.0770879      55.5973191

