# atom   nres   name    charge        NPBC_SLV        NPBC_VAC         PBC_SLV         PBC_VAC      FFT_LS_PBC      FFT_RF_PBC
     1      1     O1   -0.3273    -550.3349640    -739.9294123    -549.1758856    -693.3845876     137.3755109     102.4236692
     2      1     C7    0.3681     163.3279008     -11.7688191     164.5292826      34.7716976     125.2997301     101.5416410
     3      1     O2   -0.3273    -580.8104807    -760.6041837    -579.6668951    -714.1142115     122.3868194      98.1653673
     4      1     C3   -0.0426     -60.6817607    -209.3707540     -59.4633007    -162.9405403     101.2940136      74.1727762
     5      1     C4   -0.0436     -65.4396154    -194.8147349     -64.3107828    -148.5347999      76.3560563      56.9027935
     6      1     C5   -0.0616    -116.1507430    -223.5390147    -115.0829047    -177.5198354      62.6037143      41.4203379
     7      1     C6   -0.0624    -135.0246354    -239.0386712    -133.9665286    -193.1624509      54.3807997      32.4878054
     8      1     C1   -0.0636    -135.6491146    -249.9595454    -134.5482930    -203.9608746      64.1051645      41.6612939
     9      1     C2    0.0364      -3.7845639    -141.2548720      -2.5783822     -94.9583105      88.3423925      66.7546742
    10      1     O3   -0.1369    -166.7960810    -314.4239416    -165.6347760    -268.1433454     100.5459775      75.3162403
    11      1     C8    0.2648     164.0242262      26.8398491     165.1451740      72.9322047      72.8988063      57.4447158
    12      1     O4   -0.2176    -234.1017858    -382.2651275    -233.0586198    -336.3005907      89.6958251      67.5167637
    13      1     C9   -0.0852      -8.0065446    -121.6657310      -6.9267826     -75.7577628      56.0342234      36.8528285
    14      1      H    0.0348      18.9509320     -81.7083542      19.9247129     -36.0513263      51.2187775      29.1399153
    15      1     H1    0.0348      50.0841449     -46.3781121      51.0924630      -0.7365248      35.6411931      20.3156135
    16      1     H2    0.0348      51.7465702     -72.8432432      52.8319208     -26.7369416      67.1045964      47.8297296
    17      1     H3    0.0568      29.7619571     -98.3847263      30.8147968     -52.1190797      69.0827190      51.4149850
    18      1     H4    0.0440       7.8615443     -82.4466087       8.8097224     -36.6313141      45.0011248      25.6571885
    19      1     H5    0.0436      27.8138231     -57.4110601      28.7454869     -11.8526654      38.0189018      18.5401764
    20      1     H6    0.0496      27.4468645     -73.9074451      28.4183889     -28.1249604      55.0557989      34.0386005

