# atom   nres   name    charge        NPBC_SLV        NPBC_VAC         PBC_SLV         PBC_VAC      FFT_LS_PBC      FFT_RF_PBC
     1      1     O1   -0.3273    -165.3267515    -392.6540112    -164.3555960    -343.7223956     163.5502071     152.2252671
     2      1     C7    0.3681     259.2950050      49.3820434     260.3155959      98.4342558     146.4773988     135.1185863
     3      1     O2   -0.3273    -358.1923564    -609.1224265    -357.1424310    -560.0231209     175.7115516     161.2855243
     4      1     C3   -0.0426     -44.5501698    -222.1907492     -43.5328235    -173.2773352     121.5774667     110.2162949
     5      1     C4   -0.0436    -103.6824424    -251.8239907    -102.7254976    -203.1768459      98.8838036      86.2370741
     6      1     C5   -0.0616     -80.8328561    -207.4357007     -79.9215491    -159.1816352      66.3830318      51.1552652
     7      1     C6   -0.0624    -100.7278306    -223.8638006     -99.8065159    -175.7045005      53.4325542      41.9445737
     8      1     C1   -0.0636     -78.8052617    -209.4688638     -77.8409457    -160.9960685      67.0437219      56.4534141
     9      1     C2    0.0364     -36.9894310    -195.7992209     -35.9574923    -146.9710321     100.6109983      93.5784646
    10      1     O3   -0.1369     -31.1313939    -196.0825645     -30.1363428    -147.2114177     106.4385334      98.1497877
    11      1     C8    0.2648     216.8531781      71.4018230     217.8210796     120.1634664      68.9947750      63.6243057
    12      1     O4   -0.2176    -242.9085951    -409.4901109    -241.9716159    -360.9377277      93.9962939      83.8985237
    13      1     C9   -0.0852     -22.8139981    -136.1837501     -21.8937582     -87.5634789      68.6036594      53.5117536
    14      1      H    0.0348      36.1367300     -58.0972301      36.9636330      -9.7500445      44.4657143      31.7609467
    15      1     H1    0.0348      28.1990993     -72.0066337      29.0649463     -23.5364985      51.2703078      39.7958362
    16      1     H2    0.0348      32.6747394     -83.9114993      33.5356651     -35.1913403      76.5001565      62.0046503
    17      1     H3    0.0568      73.4476053     -62.3283207      74.2904307     -13.7398320      91.6037772      80.1387127
    18      1     H4    0.0440      -0.7347882    -100.1150381       0.0727776     -52.2575648      45.1490690      35.3614295
    19      1     H5    0.0436       8.9485463     -86.0426300       9.7711944     -38.3457348      43.0313906      32.7395303
    20      1     H6    0.0496      26.3769969     -78.8474748      27.2260151     -30.5955657      50.4988434      39.2067311

