# atom   nres   name    charge        NPBC_SLV        NPBC_VAC         PBC_SLV         PBC_VAC      FFT_LS_PBC      FFT_RF_PBC
     1      1     O1   -0.6546    -378.9892245    -847.4334882    -376.9459831    -749.4003769     342.6283941     314.3063656
     2      1     C7    0.7362      72.7293633    -373.2918817      74.8621609    -275.1960702     310.3686434     287.5065410
     3      1     O2   -0.6546    -413.0868499    -915.2040869    -411.0004028    -817.1596159     366.2122885     341.6209969
     4      1     C3   -0.0853     -60.8871957    -417.7166372     -58.7710861    -319.8978862     256.7743214     229.6211881
     5      1     C4   -0.0872     -84.8657158    -385.3774385     -82.9001097    -288.1250659     194.1492757     166.0139064
     6      1     C5   -0.1232    -182.2052808    -427.1735424    -180.2990758    -330.5938220     157.1154194     146.1161275
     7      1     C6   -0.1248    -183.3568035    -427.5383229    -181.4441618    -331.0561900     156.1110512     112.3121343
     8      1     C1   -0.1272    -229.4294991    -489.0161172    -227.4766750    -392.0046329     162.9544323     136.8514799
     9      1     C2    0.0729     -42.7533926    -350.2109646     -40.6897903    -252.5535098     211.3032550     190.3627273
    10      1     O3   -0.2738    -153.4333785    -467.0399090    -151.4101431    -369.3133863     222.8520856     199.0878963
    11      1     C8    0.5297     169.5817299    -100.6557298     171.5021935      -3.3113977     181.7264930     156.2588965
    12      1     O4   -0.4352    -299.5478409    -607.6610664    -297.6611057    -510.7764430     204.3965771     177.0765794
    13      1     C9   -0.1705     -32.3146129    -246.6780222     -30.4820918    -149.5788452     133.6159016     104.0679811
    14      1      H    0.0696      97.0082250    -109.2325250      98.7069673     -12.1684971     124.7559990      99.3045521
    15      1     H1    0.0696      24.7465115    -144.7234529      26.4188639     -48.2831509      73.7056575      48.9914902
    16      1     H2    0.0696      49.1809324    -180.1494094      50.9183053     -82.8835301     130.5448580     108.4057360
    17      1     H3    0.1136     136.2420194    -133.2116333     138.0331829     -36.1819863     155.6227719     137.2501038
    18      1     H4    0.0880       4.0195815    -188.9403208       5.7105734     -93.1169234      64.5010327      66.9441575
    19      1     H5    0.0872      -8.3045757    -201.1614581      -6.5831031    -105.5047687      86.0321993      62.7313459
    20      1     H6    0.0992      10.9624182    -204.6710056      12.7033285    -108.0466573     112.2196734      87.3466158

