# atom   nres   name    charge        NPBC_SLV        NPBC_VAC         PBC_SLV         PBC_VAC      FFT_LS_PBC      FFT_RF_PBC
     1      1     O1   -0.2455    -211.9314718    -391.9710683    -211.1391488    -355.1531858     138.7460174     128.9649744
     2      1     C7    0.2761      -4.9821567    -163.2445278      -4.1760786    -126.4531884     107.9671767     101.9513803
     3      1     O2   -0.2455    -205.7814355    -372.4121940    -205.0082673    -335.6951846     125.0162275     114.8738693
     4      1     C3   -0.0320      -7.9762694    -137.2859589      -7.1724922    -100.5904121      88.0625523      74.7829652
     5      1     C4   -0.0327     -52.7132378    -160.6811760     -51.9573707    -124.1725406      73.5390243      60.5084620
     6      1     C5   -0.0462    -101.1231212    -190.3661380    -100.3874260    -154.1179544      55.5638821      42.0031949
     7      1     C6   -0.0468     -72.2266679    -157.2264707     -71.5027357    -121.0479196      49.3332264      38.6106595
     8      1     C1   -0.0477     -56.3469363    -151.0119388     -55.5998228    -114.6485583      61.3056675      50.2575323
     9      1     C2    0.0273     -12.7326652    -127.7540235     -11.9288640     -91.1265680      73.8247304      67.3657469
    10      1     O3   -0.1027    -104.5489279    -224.1787940    -103.7720206    -187.5346016      77.5252647      68.7422274
    11      1     C8    0.1986      60.2517516     -45.2682232      60.9804741      -8.6979871      73.2530228      56.7493817
    12      1     O4   -0.1632     -84.8859991    -200.9943083     -84.1868634    -164.5889256      78.6595195      69.8196292
    13      1     C9   -0.0639      15.4947440     -69.1809383      16.2007734     -32.6887932      60.8102060      46.3722137
    14      1      H    0.0261      16.3094063     -54.7854198      16.9507496     -18.4394773      34.2898131      27.2013989
    15      1     H1    0.0261      21.4742770     -54.9364937      22.1557460     -18.5689399      38.7465273      30.6427999
    16      1     H2    0.0261      20.0198252     -72.5746255      20.6902933     -35.9956331      63.7232807      55.5318679
    17      1     H3    0.0426      22.3569456     -72.5189224      23.0200755     -36.0963716      53.3286365      48.4989096
    18      1     H4    0.0330       2.1503807     -68.2319014       2.8039204     -32.2749608      31.8497626      24.2729193
    19      1     H5    0.0327      22.0962657     -44.6409320      22.7410193      -8.7787095      27.9447752      21.9651826
    20      1     H6    0.0372       0.1165160     -78.8925892       0.7857685     -42.7314036      41.3498878      33.7676343

