# atom   nres   name    charge        NPBC_SLV        NPBC_VAC         PBC_SLV         PBC_VAC      FFT_LS_PBC      FFT_RF_PBC
     1      1     O1   -0.0000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
     2      1     C7    0.0000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
     3      1     O2   -0.0000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
     4      1     C3   -0.0000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
     5      1     C4   -0.0000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
     6      1     C5   -0.0000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
     7      1     C6   -0.0000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
     8      1     C1   -0.0000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
     9      1     C2    0.0000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
    10      1     O3   -0.0000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
    11      1     C8    0.0000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
    12      1     O4   -0.0000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
    13      1     C9   -0.0000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
    14      1      H    0.0000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
    15      1     H1    0.0000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
    16      1     H2    0.0000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
    17      1     H3    0.0000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
    18      1     H4    0.0000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
    19      1     H5    0.0000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
    20      1     H6    0.0000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000

