# atom   nres   name    charge        NPBC_SLV        NPBC_VAC         PBC_SLV         PBC_VAC      FFT_LS_PBC      FFT_RF_PBC
     1      1     O1   -0.8183    -835.8766369   -1432.2095453    -833.2992160   -1309.7480506     430.3612880     398.2869502
     2      1     C7    0.9202     663.8290175     133.7072746     666.4269394     256.4281234     372.7181718     347.5267384
     3      1     O2   -0.8183    -394.9361526    -992.8097856    -392.4151447    -869.9889937     468.5038194     426.2375068
     4      1     C3   -0.1066    -112.1524302    -535.9615892    -109.5584029    -413.5762480     340.6858099     287.1435794
     5      1     C4   -0.1090    -143.9652071    -499.0656015    -141.5041513    -377.2565898     204.6543197     174.7496330
     6      1     C5   -0.1540    -203.4789153    -499.2317146    -201.1585763    -378.3078516     165.1931528     129.7703021
     7      1     C6   -0.1560    -389.0764696    -670.3395505    -386.7160879    -549.6489561     171.6940897     139.2940843
     8      1     C1   -0.1590    -284.5348304    -587.6999444    -282.1221278    -466.4501363     198.3552850     157.2321395
     9      1     C2    0.0911     -86.8112360    -465.7716952     -84.2104616    -343.6874792     254.4769944     224.2236229
    10      1     O3   -0.3422     -93.3435955    -518.3232035     -90.8475416    -396.1795537     312.4315062     277.4614699
    11      1     C8    0.6621     519.3641849     164.6592375     521.7600716     286.3330192     225.2728123     209.3637069
    12      1     O4   -0.5440    -322.4609484    -715.5999713    -320.1651503    -594.3581384     276.4462428     246.3578955
    13      1     C9   -0.2131      28.9535505    -230.5141068      31.1721678    -109.3523612     153.3070861     126.5729548
    14      1      H    0.0870     138.9139093     -55.8333778     140.8830640      64.4810726      81.3038003      57.5604799
    15      1     H1    0.0870      12.3679035    -240.6199406      14.5419039    -119.4828729     122.5584347      94.6363343
    16      1     H2    0.0870      60.5258466    -181.6102062      62.5903194     -60.6213978     142.6864067     112.3124762
    17      1     H3    0.1420      72.8778528    -261.5098038      75.1221971    -139.8242014     186.3905543     173.7933124
    18      1     H4    0.1100      92.8342943    -139.4879763      94.8930528     -19.2992134     105.9138685      85.8475509
    19      1     H5    0.1090      20.4147843    -198.8234633      22.4894188     -79.1425494      94.4834421      71.2983127
    20      1     H6    0.1240      43.4146284    -205.5120127      45.4871109     -84.8541887     130.4005057      99.2287101

