# atom   nres   name    charge        NPBC_SLV        NPBC_VAC         PBC_SLV         PBC_VAC      FFT_LS_PBC      FFT_RF_PBC
     1      1     O1   -0.0818     -39.1883846    -101.0271887     -38.9311905     -88.7634299      44.2886705      41.6522862
     2      1     C7    0.0920      63.1335743       9.4575995      63.3953007      21.7125797      35.9955684      34.0656543
     3      1     O2   -0.0818     -58.2163715    -115.8725200     -57.9620592    -103.6486804      43.0915101      40.5563116
     4      1     C3   -0.0107      -7.1197996     -50.2581928      -6.8642048     -38.0314203      31.6835141      28.1548848
     5      1     C4   -0.0109     -21.1713606     -56.0096327     -20.9248810     -43.8393033      22.0104387      18.3669210
     6      1     C5   -0.0154     -34.2723116     -63.9909367     -34.0356567     -51.8932586      19.0473226      15.3561851
     7      1     C6   -0.0156     -29.6180931     -59.2490772     -29.3845812     -47.1727474      16.5309913      13.2936498
     8      1     C1   -0.0159     -21.6211895     -54.7560733     -21.3811931     -42.6268297      16.9760513      13.9037574
     9      1     C2    0.0091      -8.0091139     -48.3459680      -7.7545016     -36.1414216      28.8661109      25.3170798
    10      1     O3   -0.0342     -27.9370080     -71.1197306     -27.6834613     -58.9166415      28.1232521      25.4878856
    11      1     C8    0.0662     119.9542853      85.6294526     120.1945354      97.7718567      18.4481557      17.8341852
    12      1     O4   -0.0544     -82.0965451    -120.0094133     -81.8685412    -107.9321527      25.5657966      22.9733079
    13      1     C9   -0.0213      15.2984053      -9.8643671      15.5157560       2.2382952      14.1498684      10.6198216
    14      1      H    0.0087      14.6812495     -12.0851703      14.8894364       0.0621812      15.7947144      12.7894775
    15      1     H1    0.0087       7.7617613     -13.1925168       7.9632685      -1.1668169       8.5850606       6.0795942
    16      1     H2    0.0087       5.8255419     -16.4301753       6.0326023      -4.3675298      10.1537512       6.9539570
    17      1     H3    0.0142      11.3758858     -21.8451774      11.5970462      -9.6941727      19.0884383      16.4733022
    18      1     H4    0.0110       0.0639026     -23.7843986       0.2729513     -11.7681758      11.5319688       8.8576709
    19      1     H5    0.0109       1.3615085     -21.7014533       1.5686352      -9.7210138      10.8396372       7.8218486
    20      1     H6    0.0124       8.8712202     -17.9449546       9.0852716      -5.8712214      13.1681121      10.3802152

