# atom   nres   name    charge        NPBC_SLV        NPBC_VAC         PBC_SLV         PBC_VAC      FFT_LS_PBC      FFT_RF_PBC
     1      1     O1   -0.7774   -1085.3048454   -1705.8220444   -1082.7744366   -1589.1845751     437.5792544     407.9057848
     2      1     C7    0.8742     265.2326269    -254.4753718     267.6655757    -137.9144860     352.8620568     321.0809249
     3      1     O2   -0.7774    -842.5269147   -1413.6124215    -840.0830722   -1297.1355996     439.5977838     384.4415017
     4      1     C3   -0.1013     -44.1638570    -472.1035850     -41.7146987    -355.9261787     290.2727968     266.2045652
     5      1     C4   -0.1035    -221.7600438    -557.6706331    -219.4593600    -442.1805064     225.4028014     198.1772533
     6      1     C5   -0.1463    -205.7100453    -488.9160111    -203.4644117    -374.3103892     160.7201656     124.1082824
     7      1     C6   -0.1482    -247.7441323    -517.1575421    -245.5051255    -402.7416236     167.8921652     132.4497249
     8      1     C1   -0.1510    -256.3118505    -549.1941826    -254.0197759    -434.0951860     193.6359710     156.2612679
     9      1     C2    0.0865      -5.8793489    -381.5801846      -3.4629987    -265.6083263     264.7828161     224.7311031
    10      1     O3   -0.3251    -199.2958772    -597.1149023    -196.9074951    -480.9807497     265.2458693     232.7967495
    11      1     C8    0.6290     357.2531471      35.4240702     359.4716971     151.1947103     202.3463389     195.8475202
    12      1     O4   -0.5168    -254.4573723    -642.7222447    -252.2313938    -527.3104942     238.5781647     212.0393452
    13      1     C9   -0.2024      22.3200714    -230.0084945      24.4356768    -114.6122326     151.3643557     112.8327984
    14      1      H    0.0827      89.7066832    -121.4165581      91.6666910      -6.5799978     104.5798340      79.7919598
    15      1     H1    0.0827      65.3152282    -148.9067898      67.2996073     -33.9138748      97.9765380      70.7845151
    16      1     H2    0.0827      27.8808020    -269.3400204      29.9838396    -153.5367422     198.8319672     168.4289072
    17      1     H3    0.1349     172.3867170    -105.4410634     174.3677820       9.8174199     183.5872992     155.1329512
    18      1     H4    0.1045     -15.2910245    -243.4068754     -13.2679518    -129.7345289     107.7968236      79.6132927
    19      1     H5    0.1035       2.0437905    -214.7681226       4.0251119    -101.3866565      89.6711929      71.6082688
    20      1     H6    0.1178      47.7531703    -192.9701090      49.8068023     -78.4157639     119.7210017      92.3010497

