# atom   nres   name    charge        NPBC_SLV        NPBC_VAC         PBC_SLV         PBC_VAC      FFT_LS_PBC      FFT_RF_PBC
     1      1     O1   -0.1637    -199.8518604    -318.9337442    -199.3146102    -294.4577684      80.9707720      75.2688959
     2      1     C7    0.1840      75.4055999     -25.7013025      75.9306719      -1.1753681      65.5323480      61.8037174
     3      1     O2   -0.1637    -160.1339461    -276.1680289    -159.5928371    -251.6232610      88.2670991      80.0808652
     4      1     C3   -0.0213     -10.4938195     -93.3460184      -9.9611427     -68.8914413      49.5419625      45.1880475
     5      1     C4   -0.0218     -37.1641129    -109.6878941     -36.6587908     -85.3616655      46.7838288      40.8374293
     6      1     C5   -0.0308     -64.5590542    -123.8511083     -64.0721221     -99.7103961      40.0044210      30.7173211
     7      1     C6   -0.0312     -55.8115659    -112.7684022     -55.3259230     -88.6911581      41.4016493      34.1539389
     8      1     C1   -0.0318     -74.2205238    -137.4755766     -73.7141009    -113.2623487      41.6073396      33.9992988
     9      1     C2    0.0182     -19.4980487     -96.0248644     -18.9532672     -71.6249034      48.4450641      42.0732881
    10      1     O3   -0.0684    -154.4455495    -236.1364895    -153.9055881    -211.7238839      56.6326732      49.1244654
    11      1     C8    0.1324     294.8095905     218.5250190     295.3357351     242.8897669      45.3878035      43.2088189
    12      1     O4   -0.1088    -167.7983535    -252.5678430    -167.3010692    -228.3077987      53.9026576      49.0630722
    13      1     C9   -0.0426       4.7977862     -53.2979056       5.2842398     -28.9964016      40.9987615      30.8041117
    14      1      H    0.0174       7.2115260     -54.4679672       7.6814286     -30.0984871      40.9476265      35.3507612
    15      1     H1    0.0174      22.9365796     -26.8762156      23.3674012      -2.6366388      29.5544056      23.7384975
    16      1     H2    0.0174       5.0687261     -43.0054661       5.5189506     -18.8360879      24.7516610      15.2245938
    17      1     H3    0.0284       5.1103514     -64.6493302       5.5757563     -40.3731115      41.7175499      35.8766382
    18      1     H4    0.0220      28.1637324     -18.6184926      28.5933787       5.3462150      23.9500154      18.1112758
    19      1     H5    0.0218      -4.7456439     -51.1095760      -4.3102114     -27.2580444      16.5724041      15.3474380
    20      1     H6    0.0248       2.4199631     -52.1550982       2.8614973     -28.0763182      26.8344737      21.8097037

