# atom   nres   name    charge        NPBC_SLV        NPBC_VAC         PBC_SLV         PBC_VAC      FFT_LS_PBC      FFT_RF_PBC
     1      1     O1   -0.4910    -520.5812265    -886.3737478    -518.9818323    -812.5753252     282.0425999     259.2940293
     2      1     C7    0.5521     442.8569836     125.8988278     444.4826528     199.6342365     207.3317710     201.1069514
     3      1     O2   -0.4910    -670.9885277   -1012.7189949    -669.4189708    -939.1091041     246.3568453     233.9186360
     4      1     C3   -0.0640     -23.2186814    -290.6712144     -21.6104605    -217.1789376     179.1202055     162.8963083
     5      1     C4   -0.0654    -151.7997821    -371.9650071    -150.2853481    -298.8276346     162.4258779     144.3097270
     6      1     C5   -0.0924    -161.0557167    -350.8025816    -159.6037274    -278.1595018      95.6554501      77.8580844
     7      1     C6   -0.0936    -181.1845161    -368.6799372    -179.7365437    -296.1776539      90.1113493      73.9763384
     8      1     C1   -0.0954    -139.0184305    -334.3165001    -137.5539805    -261.4641079     125.7083695     100.9613933
     9      1     C2    0.0547     -75.4486834    -318.1799929     -73.8806003    -244.8363357     153.4338810     128.9016721
    10      1     O3   -0.2053    -185.0249294    -429.3550261    -183.4664857    -355.9778926     174.9542181     149.3439681
    11      1     C8    0.3973     319.3950698      99.1565319     320.9103765     172.3718534     134.5905544     123.8371182
    12      1     O4   -0.3264    -204.1771554    -468.3121208    -202.6986343    -395.1659718     189.6237396     173.3305522
    13      1     C9   -0.1279      43.3801365    -116.3197034      44.7592023     -43.4584187      83.4079944      61.4514929
    14      1      H    0.0522      39.6879180     -85.5142479      40.9595521     -13.0814107      44.9626061      27.5364276
    15      1     H1    0.0522      22.4421603    -144.1070670      23.7767070     -71.1722629      93.9362466      74.7765797
    16      1     H2    0.0522      56.1710258     -94.7519271      57.4675758     -22.0440871      83.0848036      66.1029333
    17      1     H3    0.0852     147.3562447     -36.8473915     148.6777286      36.1332326     126.9767978     110.2375045
    18      1     H4    0.0660      46.9135138     -98.1056269      48.1990939     -25.9495023      71.9913129      58.4440763
    19      1     H5    0.0654      70.1735896     -70.1657955      71.4679796       1.7468014      62.8808468      49.4854973
    20      1     H6    0.0744     100.7070946     -54.6518451     102.0039775      17.8822493      79.8202134      65.5054178

