# atom   nres   name    charge        NPBC_SLV        NPBC_VAC         PBC_SLV         PBC_VAC      FFT_LS_PBC      FFT_RF_PBC
     1      1     O1   -0.4092    -352.2972295    -650.9310865    -350.9815084    -589.6807775     200.8523234     193.0663599
     2      1     C7    0.4601     298.3630603      28.5580481     299.7217857      89.9306619     166.9758125     164.5134012
     3      1     O2   -0.4092    -379.2596975    -688.7759645    -377.9386345    -627.3509186     233.9187476     216.4086600
     4      1     C3   -0.0533       2.7743376    -212.0292794       4.1173334    -150.8531205     181.7699549     157.1281864
     5      1     C4   -0.0545     -64.8348400    -244.9591739     -63.6159295    -184.0954098     107.2559608     106.4687615
     6      1     C5   -0.0770    -236.4240402    -386.6215860    -235.2144870    -326.1711149      86.7430236      73.3104641
     7      1     C6   -0.0780    -174.4258818    -321.7010766    -173.2240418    -261.3980599      87.2337486      70.7514876
     8      1     C1   -0.0795    -101.8016708    -258.6798770    -100.5901509    -198.1002502     107.6044040      90.6227772
     9      1     C2    0.0456     -40.5970745    -235.6888074     -39.2662669    -174.6565376     140.3947074     122.0468214
    10      1     O3   -0.1711    -145.8526040    -357.7078794    -144.5609786    -296.6140290     147.2783873     133.1933855
    11      1     C8    0.3310     419.2597815     240.9583455     420.4974158     301.9297732      99.9958375      90.5489751
    12      1     O4   -0.2720    -263.0158784    -471.5244860    -261.8121032    -410.6915356     136.9113084     125.2754500
    13      1     C9   -0.1065      20.1943375    -111.3077757      21.3503582     -50.5348136      81.5579184      60.9378151
    14      1      H    0.0435      21.7900558     -80.7480409      22.8330668     -20.3630256      42.8651444      28.5883407
    15      1     H1    0.0435      71.5690417     -52.6062001      72.6703700       8.1384157      67.8027844      53.3478305
    16      1     H2    0.0435      49.0033451     -80.4575071      50.0763804     -19.6571488      75.2129371      60.4332398
    17      1     H3    0.0710      75.2409800     -89.4449193      76.3385947     -28.6510780      82.1974144      83.5780125
    18      1     H4    0.0550      58.4595641     -59.4734295      59.5121405       0.5530952      55.6871463      44.7833908
    19      1     H5    0.0545      -5.1750341    -122.5959431      -4.1133968     -62.8288813      55.9693252      41.7808408
    20      1     H6    0.0620      41.0652756     -88.1151066      42.1234784     -27.8377960      66.4911499      56.9058727

