# atom   nres   name    charge        NPBC_SLV        NPBC_VAC         PBC_SLV         PBC_VAC      FFT_LS_PBC      FFT_RF_PBC
     1      1     O1   -0.5728    -424.0541974    -822.6288072    -422.3028496    -736.7739207     296.5595428     279.8564710
     2      1     C7    0.6441    1172.4221212     805.4536708    1174.2547364     891.3874272     257.6685474     258.1460102
     3      1     O2   -0.5728    -754.9467507   -1177.7302529    -753.1439158   -1091.7837727     322.6576988     306.7589570
     4      1     C3   -0.0746    -122.4853640    -425.9179694    -120.6543963    -340.3030683     226.1750693     188.8501821
     5      1     C4   -0.0763    -133.0410447    -376.1536987    -131.3157712    -291.1335668     156.0854771     130.9247175
     6      1     C5   -0.1078    -181.3552352    -385.0743483    -179.7098947    -300.7984801     122.1926287      96.6855862
     7      1     C6   -0.1092    -314.1060582    -518.9219641    -312.4607715    -434.6856499     121.6056815      91.7370610
     8      1     C1   -0.1113    -103.9097370    -332.1127947    -102.2441236    -247.3142313     131.8476739     107.4256282
     9      1     C2    0.0638     -53.5928363    -336.0744797     -51.8062279    -250.6270935     181.3800048     154.7872560
    10      1     O3   -0.2395     -75.2889712    -376.6860145     -73.5431888    -291.0842878     225.5389394     195.9246348
    11      1     C8    0.4635     459.6868302     186.2495524     461.4362001     271.7012470     176.0651850     164.1997030
    12      1     O4   -0.3808    -346.9001706    -645.9543772    -345.2390324    -560.6656724     204.1398482     183.1417768
    13      1     C9   -0.1492     -60.8560222    -258.5790162     -59.2444010    -173.6240110     124.7722143      96.3174684
    14      1      H    0.0609      26.1608324    -137.6434850      27.6549906     -53.0943417      78.3953573      50.8257073
    15      1     H1    0.0609      98.8589815    -108.0823771     100.4218024     -23.0052178     134.3314682     108.9311973
    16      1     H2    0.0609     108.6271876     -54.7495615     110.0454428      29.8646826      88.8935864      67.7950422
    17      1     H3    0.0994      50.5810330    -165.8841417      52.1211966     -81.0203450     123.7977053     111.7157186
    18      1     H4    0.0770      -0.0764096    -162.3217037       1.3731603     -78.8449036      71.4699896      57.2047725
    19      1     H5    0.0763      30.1462498    -125.4222167      31.5797755     -41.9846695      70.4896519      48.8943745
    20      1     H6    0.0868       5.1955198    -181.4086481       6.7051549     -96.9609486      84.9023093      66.6223523

