# atom   nres   name    charge        NPBC_SLV        NPBC_VAC         PBC_SLV         PBC_VAC      FFT_LS_PBC      FFT_RF_PBC
     1      1     O1   -0.7365    -457.2056349   -1011.8672214    -454.8456431    -901.5673038     371.7591920     342.6052888
     2      1     C7    0.8282     427.1080247     -70.4509290     429.5032802      39.9204163     357.6652756     333.2191484
     3      1     O2   -0.7365    -581.5484593   -1142.3020392    -579.2422292   -1031.9738168     407.6945971     378.6941520
     4      1     C3   -0.0959     -22.4107185    -414.7756859     -20.0770939    -304.7681056     264.3715980     222.3878628
     5      1     C4   -0.0981    -184.5650346    -515.7877923    -182.3615729    -406.4345926     169.8898891     148.7434040
     6      1     C5   -0.1386    -219.1402751    -492.4276016    -217.0565311    -384.0083135     150.7208523     123.6794697
     7      1     C6   -0.1404    -382.1076300    -647.5822476    -380.0137901    -539.2918796     151.2437230     119.1882497
     8      1     C1   -0.1431    -123.7200461    -404.9422000    -121.6204626    -295.9943919     156.9884569     127.4358705
     9      1     C2    0.0820    -111.9109932    -453.8771156    -109.6293885    -344.0966823     188.4286909     160.9535957
    10      1     O3   -0.3080    -307.2274516    -669.9023813    -304.9981948    -559.9370238     238.3870368     215.7790561
    11      1     C8    0.5959     954.5376070     621.5004290     956.7376155     731.2467700     208.7721362     196.0274552
    12      1     O4   -0.4896    -253.1389894    -604.2744514    -251.0971009    -495.0013550     238.6280023     211.8067776
    13      1     C9   -0.1918      17.7999212    -260.3744669      19.8668178    -150.9450915     180.1446682     137.1969482
    14      1      H    0.0783      53.3473974    -182.3011944      55.2171625     -73.4825554     131.4781059     101.7126893
    15      1     H1    0.0783      35.0384218    -211.6197630      36.9391152    -102.4988331     129.3876676      89.5197126
    16      1     H2    0.0783      26.2809613    -290.0838547      28.2970317    -180.4081738     215.6302912     185.1238834
    17      1     H3    0.1278      67.9700520    -236.1760998      69.9714236    -126.9884196     151.6880496     131.3965491
    18      1     H4    0.0990       3.1299410    -215.7909171       4.9863433    -108.2906050     102.1904238      79.2772035
    19      1     H5    0.0981      17.5202576    -185.4473719      19.3554296     -78.1785883      93.0077419      65.5034645
    20      1     H6    0.1116      71.2694768    -160.0703258      73.1360497     -51.5217886     114.0026485      92.2602355

